volume,close,high,newProduct,newCLevel,scandal,naturalDisaster,newComp,effect
38464,21,28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56947,5,14,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
74919,34,35,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
72778,99,108,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
55566,84,88,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE
91356,57,60,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
58621,42,49,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE
12320,23,27,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
33514,31,37,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
28701,91,99,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
59974,80,86,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
57485,41,49,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
9871,58,63,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
89047,100,103,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
69673,96,106,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
25261,79,84,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
83953,62,72,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
8826,62,63,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
95128,100,108,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
23510,5,9,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
93698,93,98,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
92301,98,107,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
82040,30,39,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
60071,3,7,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
50332,22,28,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
32990,35,39,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
94092,41,45,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
16547,86,87,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE
86250,18,21,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE
57238,2,10,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
12086,18,24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
9443,39,43,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
25315,69,73,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
97200,92,97,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
5526,50,56,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE
82861,75,77,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
72971,28,32,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
61469,89,94,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
78230,7,14,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
91364,23,25,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
60781,48,55,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE
63871,79,80,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE
53643,48,51,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE
21409,30,33,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
41105,43,48,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
