OPEN,HIGH,LOW,CLOSE
1.21,1.21,1.2099,1.2099
1.2099,1.2099,1.2099,1.2099
1.2099,1.21,1.2099,1.21
1.21,1.21,1.2099,1.2099
1.2099,1.2099,1.2099,1.2099
1.2099,1.2099,1.2099,1.2099
1.2099,1.21,1.2099,1.2099
1.21,1.21,1.2099,1.2099
1.2099,1.2099,1.2099,1.2099
1.2099,1.21,1.2099,1.2099
1.2099,1.2099,1.2098,1.2098
1.2098,1.2099,1.2098,1.2099
1.2098,1.2099,1.2098,1.2099
1.2099,1.2099,1.2097,1.2097
1.2097,1.2099,1.2097,1.2099
1.2098,1.2098,1.2097,1.2097
1.2097,1.2097,1.2097,1.2097
1.2098,1.2098,1.2097,1.2098
1.2098,1.2099,1.2098,1.2099
1.2099,1.2099,1.2098,1.2098
1.2098,1.2099,1.2098,1.2098
1.2098,1.2098,1.2098,1.2098
1.2097,1.2098,1.2097,1.2097
1.2097,1.2097,1.2097,1.2097
1.2096,1.2096,1.2095,1.2095
1.2094,1.2095,1.2082,1.2085
1.2084,1.2086,1.208,1.208
1.2079,1.2083,1.2079,1.208
1.2081,1.2083,1.208,1.2082
1.2083,1.2085,1.2082,1.2082
1.2081,1.2081,1.2079,1.2079
1.2078,1.2079,1.2077,1.2079
1.208,1.2082,1.2079,1.2081
1.2081,1.2082,1.2081,1.2082
1.2082,1.2082,1.2078,1.2078
1.2079,1.2082,1.2079,1.2082
1.2081,1.2082,1.208,1.2081
1.2082,1.2084,1.208,1.2081
1.2081,1.2081,1.208,1.208
1.208,1.208,1.2079,1.2079
1.2079,1.208,1.2079,1.2079
1.208,1.2081,1.208,1.2081
1.2082,1.2083,1.2082,1.2082
1.2082,1.2082,1.208,1.208
1.2079,1.2082,1.2079,1.2082
1.2082,1.2082,1.2081,1.2081
1.2081,1.2082,1.2081,1.2081
1.2081,1.2082,1.2081,1.2082
1.2083,1.2083,1.2082,1.2082
1.2082,1.2083,1.2082,1.2082
1.2082,1.2082,1.2082,1.2082
1.2082,1.2083,1.2082,1.2083
1.2083,1.2084,1.2083,1.2084
1.2085,1.2086,1.2085,1.2086
1.2087,1.2087,1.2086,1.2087
1.2086,1.2087,1.2085,1.2085
1.2086,1.2086,1.2085,1.2086
1.2086,1.2089,1.2086,1.2088
1.2089,1.209,1.2088,1.2088
1.2089,1.2089,1.2085,1.2085
1.2086,1.2086,1.2086,1.2086
1.2086,1.2086,1.2085,1.2085
1.2086,1.2086,1.2086,1.2086
1.2086,1.2087,1.2086,1.2087
1.2087,1.2087,1.2087,1.2087
1.2087,1.2087,1.2087,1.2087
1.2086,1.2086,1.2083,1.2083
1.2083,1.2083,1.2083,1.2083
1.2083,1.2083,1.2083,1.2083
1.2083,1.2083,1.2083,1.2083
1.2083,1.2083,1.2083,1.2083
1.2083,1.2083,1.2083,1.2083
1.2083,1.2083,1.2083,1.2083
1.2083,1.2083,1.2083,1.2083
1.2083,1.2083,1.2083,1.2083
1.2083,1.2083,1.2083,1.2083
1.2084,1.2084,1.2083,1.2084
1.2083,1.2083,1.2083,1.2083
1.2084,1.2084,1.2084,1.2084
1.2084,1.2084,1.2084,1.2084
1.2084,1.2085,1.2084,1.2084
1.2084,1.2085,1.2083,1.2083
1.2084,1.2084,1.2084,1.2084
1.2084,1.2085,1.2084,1.2084
1.2084,1.2085,1.2084,1.2085
1.2085,1.2085,1.2085,1.2085
